hh1,hh2,willingness_link1,willingness_link2,asymmetric_bilateral1,asymmetric_bilateral2,asymmetric_unilateral1,asymmetric_unilateral2,kinship1,kinship2,excess_wealth1,excess_wealth2,same_edu1,same_edu2,members1,members2,o_members1,o_members2,neighbors1,neighbors2,popularity1,popularity2,const1,const2
83,28,0,0,0,0,1,1,0,0,-1.82976293563843,1.82976293563843,1,1,5,2,2,5,0,0,.800000011920929,.400000005960464,1,2
21,28,0,0,0,0,1,1,0,0,-.931791543960571,.931791543960571,1,1,4,2,2,4,1,1,.800000011920929,1.39999997615814,1,2
85,28,0,0,0,0,1,1,0,0,1.58447253704071,-1.58447253704071,1,1,2,2,2,2,0,0,.800000011920929,.200000002980232,1,2
78,28,0,0,0,0,1,1,0,0,1.17720758914948,-1.17720758914948,1,1,2,2,2,2,0,0,.800000011920929,.400000005960464,1,2
65,28,0,0,0,0,1,1,0,0,-.385497808456421,.385497808456421,1,1,2,2,2,2,0,0,.800000011920929,.100000001490116,1,2
61,28,0,1,0,0,1,1,0,0,-3.01937961578369,3.01937961578369,1,1,2,2,2,2,1,1,.800000011920929,.800000011920929,1,2
56,29,0,0,0,0,1,1,0,0,12.3739986419678,-12.3739986419678,1,1,2,4,4,2,1,1,1.60000002384186,.600000023841858,1,2
83,29,0,0,0,0,1,1,0,0,10.4628524780273,-10.4628524780273,1,1,5,4,4,5,1,1,1.60000002384186,.400000005960464,1,2
74,29,0,0,0,0,1,1,0,0,11.7706174850464,-11.7706174850464,1,1,4,4,4,4,1,1,1.60000002384186,1.29999995231628,1,2
36,29,0,0,0,0,1,1,0,0,14.3559989929199,-14.3559989929199,0,0,2,4,4,2,1,1,1.60000002384186,0,1,2
81,29,0,0,0,0,1,1,0,0,13.3227043151855,-13.3227043151855,0,0,3,4,4,3,1,1,1.60000002384186,.400000005960464,1,2
24,29,1,0,1,1,0,0,0,0,9.50719547271729,-9.50719547271729,1,1,2,4,4,2,1,1,1.5,.300000011920929,1,2
77,29,0,0,0,0,1,1,0,0,12.6546316146851,-12.6546316146851,1,1,2,4,4,2,0,0,1.60000002384186,.200000002980232,1,2
8,29,0,0,0,0,1,1,0,0,11.9374732971191,-11.9374732971191,1,1,2,4,4,2,0,0,1.60000002384186,.5,1,2
1,29,0,1,0,0,1,1,0,0,-2.54509353637695,2.54509353637695,0,0,3,4,4,3,0,0,1.60000002384186,.800000011920929,1,2
3,29,1,0,1,1,0,0,0,0,13.5740575790405,-13.5740575790405,1,1,3,4,4,3,0,0,1.5,.400000005960464,1,2
53,29,0,0,0,0,1,1,0,0,12.8102521896362,-12.8102521896362,1,1,3,4,4,3,1,1,1.60000002384186,.400000005960464,1,2
99,29,0,0,0,0,1,1,0,0,12.2529525756836,-12.2529525756836,0,0,2,4,4,2,0,0,1.60000002384186,.400000005960464,1,2
100,29,1,1,1,1,0,0,0,0,13.1765289306641,-13.1765289306641,1,1,3,4,4,3,1,1,1.5,.5,1,2
113,29,0,0,0,0,1,1,0,0,13.3373517990112,-13.3373517990112,1,1,2,4,4,2,1,1,1.60000002384186,.200000002980232,1,2
118,29,0,0,0,0,1,1,0,0,15.1122932434082,-15.1122932434082,0,0,1,4,4,1,1,1,1.60000002384186,0,1,2
39,29,0,0,0,0,1,1,0,0,9.476881980896,-9.476881980896,1,1,3,4,4,3,1,1,1.60000002384186,.800000011920929,1,2
109,29,0,0,0,0,1,1,0,0,14.1024103164673,-14.1024103164673,1,1,2,4,4,2,1,1,1.60000002384186,.699999988079071,1,2
49,29,0,0,0,0,1,1,0,0,12.0925283432007,-12.0925283432007,0,0,2,4,4,2,1,1,1.60000002384186,.5,1,2
103,29,0,0,0,0,1,1,0,0,13.6980285644531,-13.6980285644531,1,1,2,4,4,2,0,0,1.60000002384186,.5,1,2
47,29,1,0,1,1,0,0,0,0,10.8448238372803,-10.8448238372803,1,1,1,4,4,1,0,0,1.5,.100000001490116,1,2
101,29,0,1,0,0,1,1,0,0,11.883129119873,-11.883129119873,1,1,2,4,4,2,1,1,1.60000002384186,.600000023841858,1,2
23,29,0,0,0,0,1,1,0,0,12.7603816986084,-12.7603816986084,1,1,2,4,4,2,1,1,1.60000002384186,.5,1,2
34,29,0,0,0,0,1,1,0,0,13.2977638244629,-13.2977638244629,1,1,2,4,4,2,1,1,1.60000002384186,.899999976158142,1,2
11,29,0,0,0,0,1,1,0,0,-3.332763671875,3.332763671875,1,1,6,4,4,6,0,0,1.60000002384186,.600000023841858,1,2
112,29,0,0,0,0,1,1,0,0,1.0111141204834,-1.0111141204834,1,1,4,4,4,4,0,0,1.60000002384186,1,1,2
108,29,0,1,0,0,1,1,0,0,8.47664642333984,-8.47664642333984,0,0,2,4,4,2,0,0,1.60000002384186,1.89999997615814,1,2
18,29,0,0,0,0,1,1,0,0,11.7326612472534,-11.7326612472534,1,1,2,4,4,2,1,1,1.60000002384186,.800000011920929,1,2
104,29,0,0,0,0,1,1,0,0,2.42352867126465,-2.42352867126465,1,1,4,4,4,4,0,0,1.60000002384186,.300000011920929,1,2
105,29,0,0,0,0,1,1,0,0,4.18605995178223,-4.18605995178223,1,1,2,4,4,2,0,0,1.60000002384186,.699999988079071,1,2
